RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
140,Dane Key,Dane,Key,42,636,15.1,58,6
141,Elijah Metcalf,Elijah,Metcalf,54,634,11.7,71,6
142,Deion Burks,Deion,Burks,47,629,13.4,84,7
143,Micah Davis,Micah,Davis,36,628,17.4,76,6
144,Jonathan Brady,Jonathan,Brady,38,624,16.4,80,4
145,Monaray Baldwin,Monaray,Baldwin,38,623,16.4,71,4
145,Harold Fannin,Harold,Fannin,44,623,14.2,56,6
147,Chase Sowell,Chase,Sowell,47,622,13.2,45,1
148,Jakarius Caston,Jakarius,Caston,33,621,18.8,80,6
149,Taylor Morin,Taylor,Morin,41,617,15,61,2
149,Miles Cross,Miles,Cross,47,617,13.1,42,5
149,Johnny Wilson,Johnny,Wilson,41,617,15,44,2
152,Tailique Williams,Tailique,Williams,49,615,12.6,78,6
153,Dominic Lovett,Dominic,Lovett,54,613,11.4,55,4
154,Damien Alford,Damien,Alford,33,610,18.5,47,3
154,Chrishon McCray,Chrishon,McCray,41,610,14.9,42,4
156,Jacob De,Jacob,De,60,606,10.1,48,2
157,Cornelius Johnson,Cornelius,Johnson,47,604,12.9,50,1
158,Dalen Cobb,Dalen,Cobb,40,601,15,76,2
159,Lawrence Keys,Lawrence,Keys,33,599,18.2,57,7
160,J. Michael,J.,Michael,36,597,16.6,62,4
161,Dalevon Campbell,Dalevon,Campbell,31,594,19.2,53,2
162,Devaughn Vele,Devaughn,Vele,43,593,13.8,68,3
163,Trond Grizzell,Trond,Grizzell,39,590,15.1,54,5
163,Tyrone Howell,Tyrone,Howell,49,590,12,46,7
163,Jahdae Walker,Jahdae,Walker,35,590,16.9,40,2
166,Phillip Brooks,Phillip,Brooks,53,589,11.1,40,5
167,Quentin Skinner,Quentin,Skinner,29,587,20.2,49,2
168,Bryson Nesbit,Bryson,Nesbit,41,585,14.3,62,5
169,Justin Joly,Justin,Joly,56,578,10.3,59,2
170,Joseph Manjack,Joseph,Manjack,46,577,12.5,49,6
171,Cade Stover,Cade,Stover,41,576,14,49,5
171,Montorie Foster,Montorie,Foster,43,576,13.4,42,3
171,Konata Mumpfield,Konata,Mumpfield,44,576,13.1,82,5
174,Tykee Ogle-Kellogg,Tykee,Ogle-Kellogg,33,575,17.4,46,7
174,Jasaiah Gathings,Jasaiah,Gathings,55,575,10.5,39,1
176,Jeff Foreman,Jeff,Foreman,29,573,19.8,46,4
176,Savion Williams,Savion,Williams,41,573,14,42,4
176,Chase Roberts,Chase,Roberts,42,573,13.6,59,5
179,Deshon Stoudemire,Deshon,Stoudemire,43,569,13.2,51,1
179,Ashton Jeanty,Ashton,Jeanty,43,569,13.2,75,5
